BARNAME : BAD 
BAREDGE : 3.1
x       dl             id				
0	0.2669				0
5	0.2562				0
10	0.3					0
20	0.3734				0
30	0.4739				0
40	0.4716				0
45	0.4141				0
50	0.32				0
55	0.2134				0
60	0.1665				0
65	0.0874				0
70	0.1153				0
75	0.0512				0
90	0.05				0
91	0.1472				0
100	0.032				0
110	0.032				0
111	0.079				0
116	0.01				0
116.5	0.2924			0
120	0.01				0
173.5	0.1067			0
174.5	0.005			0
190	0.005				0
210	0.01				0
220	0.02				0
223	0.05				0
224	0.05				0
225	0.03				0
227	0.02				0
248	0.01				0
319.5	0.02			0
320	0.01				0
338	0.03				0
340	0.01				0
375	0.02				0
380	0.03				0
383	0.06				0
385	0.015				0
393	0.021				0
397	0.05				0
400	0					0
