BARNAME: GOOD
BAREDGE: 4.1
x       dl             id				
0	0.02				0
5	0.0466				0
5.5     0.005				0
10	0.0317				0
20	0.02				0
35.75	0.072				0
36	0.005				0
138.5	0.4296				0
139	0.005				0
190	0				0
210	0.085				0
210.2	0				0
233.3	0.0805				0
233.5	0				0
349	0.0616				0
349.25	0				0
374	0.076				0
374.2	0				0
393	0.07				0
394	0.01				0
399.5	0.07				0
400	0				0



