BARNAME: GOOD
BAREDGE: 3.2
x       dl             id				
0	0.084				0
5	0.083				0
15	0.072				0
25	0.104				0
35	0.1505				0
45	0.1589				0
55	0.1674				0
65	0.1505				0
80	0.142				0
100	0.1674				0
110	0.1462				0
120	0.1547				0
130	0.1504				0
145	0.1377				0
155	0.1547				0
165	0.1674				0
175	0.125				0
185	0.1758				0
192	0.1589				0
194	0.2203				0
215	0.2648				0
225	0.2754				0
235	0.2607				0
250	0.2479				0
260	0.2161				0
270	0.214				0
280	0.197				0
290	0.2161				0
300	0.2268				0
310	0.2712				0
320	0.2374				0
330	0.2394				0
340	0.2415				0
348.3	0.3835				0
348.5	0.2267				0
360	0.1928				0
365	0.2097				0
370	0.1864				0
375	0.1652				0
380	0.1017				0
385	0.1229				0
390	0.1336				0
395	0.05				0
400	0				0


